"ID","Name","BB_Percentage_MLB","BB_Percentage_MiLB","K_Percentage_MLB","K_Percentage_MiLB","BB_to_K_MLB","BB_to_K_MiLB","AVG_MLB","AVG_MiLB","OBP_MLB","OBP_MiLB","SLG_MLB","SLG_MiLB","OPS_MLB","OPS_MiLB","ISO_MLB","ISO_MiLB","Spd_MLB","Spd_MiLB","BABIP_MLB","BABIP_MiLB","wSB_MLB","wSB_MiLB","wRC_MLB","wRC_MiLB","wRAA_MLB","wRAA_MiLB","wOBA_MLB","wOBA_MiLB","wRCplus_MLB","wRCplus_MiLB"
"11477","Christian Yelich",0.118,0.154,0.214,0.394,0.55,0.64,0.292,0.334,0.379,0.46,0.477,0.563,0.857,0.74,0.186,0.149,5.6,5,0.351,0.395,12,0.2,763,30,203.4,9.5,0.367,0.477,132,151
"11489","Michael Taylor",0.067,0.138,0.304,0.366,0.22,0.55,0.239,0.342,0.293,0.454,0.386,0.546,0.679,0.681,0.147,0.135,5.7,8.5,0.324,0.451,5.4,1,230,37,-46.1,3.1,0.292,0.454,79,138
"11493","Manny Machado",0.08,0.11,0.166,0.186,0.48,0.79,0.28,0.374,0.338,0.454,0.488,0.716,0.826,0.909,0.208,0.282,4,6.6,0.297,0.373,-1.8,0.4,816,41,154.9,6.9,0.35,0.519,120,194
"11494","Kaleb Cowart",0.064,0.124,0.298,0.304,0.21,0.6,0.176,0.377,0.238,0.468,0.292,0.608,0.53,0.764,0.116,0.17,5.8,7.4,0.241,0.453,0,0.7,20,53,-28,0.4,0.233,0.477,43,145
"11531","Tsuyoshi Nishioka",0.063,0.192,0.173,0.18,0.36,1.93,0.215,0.504,0.267,0.664,0.236,0.631,0.503,0.812,0.021,0.079,1.8,5.9,0.263,0.578,-1.4,-0.7,11,22,-17.2,-4.3,0.23,0.603,38,210
"11579","Bryce Harper",0.152,0.259,0.217,0.258,0.7,1.62,0.279,0.575,0.392,0.721,0.524,1.185,0.916,1.307,0.245,0.427,4.7,6.7,0.32,0.622,2.1,0.3,957,27,313.9,8.4,0.386,0.797,142,347
"1159","Andrew Romine",0.062,0.131,0.224,0.216,0.28,0.87,0.233,0.4,0.288,0.506,0.3,0.53,0.587,0.723,0.067,0.093,5.5,9.7,0.3,0.469,2.2,1.9,101,77,-59.3,-1.8,0.263,0.477,62,141
"11608","Garin Cecchini",0.075,0.196,0.35,0.261,0.21,1.21,0.229,0.453,0.325,0.6,0.4,0.652,0.725,0.835,0.171,0.134,2.6,9.3,0.35,0.544,0,2.6,5,84,0.5,15.3,0.327,0.574,107,196
"11609","Willson Contreras",0.099,0.137,0.246,0.276,0.4,0.88,0.259,0.376,0.349,0.506,0.458,0.637,0.807,0.778,0.199,0.166,3.2,6.6,0.314,0.424,-4.3,-0.7,344,61,57.1,15.2,0.346,0.527,114,177
"11611","Rosell Herrera",0.071,0.136,0.2,0.246,0.36,0.83,0.225,0.393,0.286,0.496,0.316,0.576,0.602,0.737,0.091,0.121,4.3,8.4,0.279,0.465,-1.3,1.1,32,63,-17.8,3.3,0.265,0.486,63,150
