"ID","Name","BB_Percentage_MLB","BB_Percentage_MiLB","K_Percentage_MLB","K_Percentage_MiLB","BB_to_K_MLB","BB_to_K_MiLB","AVG_MLB","AVG_MiLB","OBP_MLB","OBP_MiLB","SLG_MLB","SLG_MiLB","OPS_MLB","OPS_MiLB","ISO_MLB","ISO_MiLB","Spd_MLB","Spd_MiLB","BABIP_MLB","BABIP_MiLB","wSB_MLB","wSB_MiLB","wRC_MLB","wRC_MiLB","wRAA_MLB","wRAA_MiLB","wOBA_MLB","wOBA_MiLB","wRCplus_MLB","wRCplus_MiLB"
"13821","Ian Parmley",0,0.138,0.25,0.295,0,0.85,0,0.384,0,0.492,0,0.472,0,0.617,0,0.053,0.1,8.9,0,0.484,0,0.9,-1,26,-1.1,-4.6,0,0.453,-100,127
"13836","Matt Duffy",0.069,0.116,0.166,0.189,0.42,0.97,0.283,0.445,0.341,0.529,0.38,0.604,0.721,0.794,0.097,0.115,4.7,5.2,0.332,0.502,0.8,1.1,248,38,3.5,10,0.317,0.517,101,176
"13853","Joey Wendle",0.06,0.116,0.192,0.217,0.31,0.87,0.274,0.41,0.328,0.497,0.408,0.66,0.736,0.769,0.135,0.166,6,8.6,0.326,0.463,1,0.5,194,59,-0.5,4.1,0.316,0.517,103,166
"13854","Anthony Bemboom",0.063,0.148,0.306,0.281,0.2,0.76,0.178,0.316,0.241,0.441,0.287,0.488,0.528,0.664,0.109,0.127,2.1,5.2,0.232,0.39,-0.5,-0.2,8,18,-10.4,-4.3,0.234,0.424,42,109
"13862","Devon Travis",0.049,0.101,0.186,0.197,0.26,0.85,0.274,0.414,0.314,0.483,0.437,0.574,0.751,0.727,0.163,0.113,4.2,6.3,0.315,0.453,-0.3,0.8,152,41,5.8,11.7,0.323,0.481,102,142
"13866","Bruce Maxwell",0.1,0.174,0.243,0.281,0.41,1.06,0.24,0.416,0.314,0.535,0.347,0.602,0.661,0.834,0.107,0.131,1.5,2.3,0.313,0.499,-0.2,-0.1,40,36,-9.5,1.3,0.292,0.516,83,163
"13877","Alex Mejia",0.041,0.088,0.265,0.217,0.15,0.63,0.109,0.418,0.146,0.491,0.174,0.562,0.32,0.677,0.065,0.091,2.6,6.1,0.125,0.478,0,-0.3,-1,38,-7.3,-5.8,0.143,0.479,-18,134
"13891","Mike Miller",0,0.117,0,0.179,0,1.19,0,0.438,0,0.536,0,0.571,0,0.741,0,0.088,0.1,7.1,0,0.492,0,-0.2,0,29,-0.3,-1.1,0,0.511,-100,161
"13895","Trevor Brown",0.057,0.101,0.207,0.23,0.28,0.66,0.236,0.341,0.282,0.424,0.354,0.43,0.636,0.579,0.118,0.064,1.7,4.2,0.28,0.401,-0.7,-0.7,19,28,-7.4,-15.2,0.277,0.396,72,85
"13897","Tyler Heineman",0.065,0.154,0.161,0.205,0.4,1.33,0.208,0.462,0.288,0.597,0.302,0.669,0.59,0.767,0.094,0.131,3.5,6.1,0.238,0.509,0.2,-0.7,5,57,-2.8,5.2,0.266,0.571,66,177
"13905","Seth Mejias-Brean",0.091,0.132,0.273,0.228,0.33,0.77,0.233,0.404,0.303,0.506,0.5,0.632,0.803,0.818,0.267,0.17,0.3,7.1,0.263,0.456,0,0.1,5,58,0.4,7.5,0.333,0.51,108,163
"13906","Sherman Johnson",0,0.21,0.364,0.272,0,1.14,0,0.365,0.091,0.532,0,0.568,0.091,0.779,0,0.142,0.1,8.4,0,0.448,0,0.6,-1,59,-2.2,5.5,0.065,0.507,-72,162
"13910","Patrick Kivlehan",0.104,0.122,0.324,0.303,0.32,0.79,0.208,0.457,0.308,0.553,0.398,0.779,0.706,0.862,0.19,0.204,5.2,7,0.276,0.518,-0.8,0,27,56,-3.1,10.7,0.305,0.585,84,206
"14103","Rio Ruiz",0.094,0.149,0.231,0.256,0.41,0.89,0.212,0.339,0.287,0.452,0.357,0.528,0.644,0.699,0.145,0.136,3.1,4.5,0.25,0.398,-0.8,-0.3,86,67,-32.1,6.5,0.279,0.447,69,128
"14106","Addison Russell",0.084,0.116,0.241,0.344,0.35,0.62,0.242,0.423,0.312,0.512,0.392,0.693,0.704,0.866,0.15,0.191,4.1,7.9,0.299,0.527,0.3,0.5,237,31,-24,9.5,0.304,0.534,87,176
"14109","Albert Almora",0.05,0.066,0.178,0.17,0.28,0.58,0.265,0.411,0.303,0.46,0.389,0.593,0.692,0.753,0.124,0.128,3.2,8.3,0.306,0.446,-1.6,-0.4,140,44,-25.6,1.6,0.296,0.475,81,142
"14111","Eric Haase",0.065,0.135,0.32,0.402,0.2,0.52,0.218,0.368,0.272,0.481,0.425,0.702,0.697,0.805,0.208,0.215,3.5,5.6,0.266,0.466,0.1,-0.4,46,50,-6.5,8.1,0.297,0.524,86,179
"14113","Ramon Torres",0.046,0.087,0.139,0.184,0.33,0.73,0.225,0.377,0.269,0.445,0.265,0.527,0.533,0.677,0.039,0.101,4.4,7.8,0.264,0.422,0.1,-0.3,6,34,-7.2,-5.3,0.239,0.445,42,126
"14128","Joey Gallo",0.15,0.222,0.369,0.479,0.41,0.74,0.206,0.382,0.333,0.548,0.489,0.892,0.821,1.044,0.283,0.378,4.3,7,0.264,0.481,0.4,0.6,352,73,62.1,26.6,0.348,0.622,114,239
"14131","Greg Bird",0.106,0.232,0.27,0.292,0.39,1.6,0.211,0.363,0.301,0.54,0.424,0.638,0.725,0.803,0.213,0.174,1.6,3,0.244,0.417,-0.3,-0.3,80,50,-2.3,16.4,0.313,0.54,96,196
"14137","Tim Lopes",0.076,0.11,0.231,0.22,0.33,0.72,0.246,0.394,0.31,0.478,0.352,0.564,0.663,0.731,0.106,0.119,4.3,8.7,0.318,0.457,0.3,0.2,29,70,-7,-1,0.291,0.469,85,139
"14140","Jose Rondon",0.071,0.108,0.234,0.249,0.3,0.7,0.216,0.413,0.274,0.493,0.353,0.617,0.628,0.757,0.138,0.137,3.3,7,0.253,0.474,0.2,-0.3,32,35,-14.2,0.1,0.273,0.496,70,147
"14145","Daniel Robertson",0.117,0.153,0.257,0.242,0.46,0.91,0.227,0.402,0.338,0.557,0.345,0.582,0.683,0.81,0.117,0.13,3.1,5.3,0.301,0.469,-1.8,-1.1,105,50,-9.6,7.6,0.307,0.535,94,187
"14161","Byron Buxton",0.059,0.136,0.288,0.435,0.21,0.62,0.248,0.388,0.299,0.479,0.461,0.706,0.761,0.835,0.213,0.22,7.8,8.1,0.316,0.499,9.2,1.1,217,29,4.3,9.6,0.321,0.52,99,185
"14162","Carlos Correa",0.108,0.138,0.205,0.261,0.53,0.79,0.277,0.436,0.356,0.533,0.481,0.674,0.837,0.853,0.204,0.169,4,6.8,0.314,0.514,1.2,0.4,490,45,104.3,13.6,0.356,0.537,128,183
"14196","Andrew Velazquez",0.072,0.107,0.343,0.354,0.21,0.48,0.184,0.388,0.249,0.47,0.276,0.605,0.525,0.765,0.092,0.148,8.6,9.7,0.29,0.502,0.6,1.1,10,43,-12.7,2.5,0.235,0.488,44,156
"14221","Jorge Soler",0.104,0.188,0.269,0.341,0.39,0.97,0.246,0.401,0.331,0.543,0.465,0.656,0.796,0.854,0.219,0.181,2.5,4.9,0.297,0.544,-0.8,0.3,359,26,48.5,8.1,0.339,0.546,111,191
"14225","Yasiel Puig",0.088,0.153,0.202,0.241,0.44,1.04,0.277,0.46,0.348,0.56,0.475,0.863,0.823,1.003,0.198,0.305,5,8.2,0.316,0.484,-1.9,-0.2,491,23,98,9.8,0.352,0.614,124,223
"14267","Alfredo Gonzalez",0,0.141,0.444,0.388,0,0.79,0.111,0.342,0.111,0.455,0.111,0.433,0.222,0.652,0,0.068,0.1,5.6,0.2,0.426,0,0.1,-1,16,-1.6,-1.1,0.098,0.419,-49,116
"14274","Mitch Haniger",0.09,0.163,0.237,0.342,0.38,0.87,0.263,0.384,0.339,0.522,0.481,0.725,0.82,0.849,0.219,0.231,4.3,5.8,0.305,0.531,-0.3,0.3,320,32,56.7,9.7,0.348,0.549,123,193
"14282","Jason Coats",0.086,0.082,0.207,0.247,0.42,0.52,0.2,0.438,0.298,0.505,0.34,0.698,0.638,0.783,0.14,0.169,5.5,6.5,0.243,0.493,0.2,-0.1,5,75,-1.6,11.7,0.285,0.542,77,182
"14320","Wilmer Difo",0.082,0.119,0.198,0.259,0.41,0.78,0.251,0.359,0.313,0.453,0.355,0.507,0.668,0.683,0.103,0.11,5.9,7.8,0.305,0.428,1.9,1.8,125,37,-31.3,1.8,0.288,0.446,75,129
"14329","Anthony Alford",0.068,0.152,0.377,0.343,0.18,0.78,0.208,0.397,0.275,0.526,0.37,0.602,0.646,0.786,0.162,0.147,6.7,7.7,0.311,0.516,-0.5,1.5,21,40,-7.3,8,0.279,0.518,72,178
"1433","Wilson Ramos",0.065,0.096,0.169,0.123,0.38,0.72,0.271,0.414,0.318,0.496,0.432,0.758,0.75,0.884,0.161,0.251,1,2.3,0.295,0.401,-3.4,-0.1,459,18,18.6,1.9,0.322,0.558,102,204
"14330","Nick Williams",0.062,0.071,0.278,0.36,0.22,0.31,0.251,0.413,0.312,0.478,0.415,0.685,0.727,0.819,0.164,0.191,4,8.8,0.323,0.524,-1.4,-0.7,106,62,-3.6,14,0.313,0.52,93,177
"14335","Dilson Herrera",0.096,0.126,0.305,0.297,0.31,0.65,0.199,0.441,0.29,0.537,0.386,0.681,0.676,0.848,0.187,0.161,4.4,8.1,0.252,0.532,0.3,-0.2,27,56,-3.4,13.8,0.298,0.55,88,199
"14344","Matt Olson",0.115,0.195,0.234,0.327,0.49,0.85,0.252,0.353,0.348,0.508,0.511,0.667,0.859,0.83,0.258,0.225,2.2,4.4,0.275,0.411,-1,0.1,374,105,85.9,22.8,0.36,0.522,132,169
"14350","Raimel Tapia",0.061,0.072,0.184,0.204,0.33,0.53,0.28,0.464,0.325,0.519,0.395,0.67,0.721,0.825,0.115,0.14,6.2,9.6,0.335,0.526,2.4,-0.5,167,88,-8.5,16.8,0.311,0.529,78,177
"14352","Lewis Brinson",0.05,0.121,0.282,0.331,0.18,0.58,0.199,0.395,0.248,0.488,0.323,0.665,0.57,0.807,0.124,0.189,4,8.6,0.258,0.485,0,0.3,70,45,-64.9,9.9,0.247,0.514,54,171
"14387","Harold Ramirez",0.04,0.081,0.182,0.194,0.22,0.51,0.271,0.489,0.308,0.558,0.405,0.715,0.714,0.855,0.134,0.145,3.7,6.9,0.315,0.542,-0.8,-0.1,92,44,-9,8.4,0.304,0.565,91,203
"14388","Ronald Guzman",0.088,0.107,0.288,0.286,0.31,0.55,0.227,0.407,0.304,0.483,0.414,0.624,0.718,0.769,0.187,0.147,3.2,5.6,0.288,0.486,-0.7,0.3,93,52,-6.5,4.2,0.308,0.496,84,157
"14412","Joe Hudson",0.061,0.145,0.182,0.337,0.33,0.69,0.167,0.37,0.219,0.492,0.2,0.602,0.419,0.715,0.033,0.155,0.1,3.2,0.208,0.448,0,-0.1,1,29,-3.4,-5.5,0.193,0.497,19,150
"14441","Henry Urrutia",0.021,0.135,0.149,0.285,0.14,0.83,0.272,0.448,0.287,0.544,0.337,0.633,0.624,0.696,0.065,0.101,2.7,4,0.312,0.526,-0.1,-0.1,8,45,-2.9,8.7,0.274,0.535,68,163
"14448","Kensuke Tanaka",0.118,0.216,0.088,0.204,1.33,2.12,0.267,0.588,0.353,0.74,0.267,0.768,0.62,0.754,0,0.09,5.4,12.2,0.296,0.636,0.4,1.4,3,86,-0.6,4,0.29,0.688,88,204
"14453","Scott Heineman",0.081,0.153,0.266,0.278,0.3,0.86,0.172,0.526,0.249,0.632,0.325,0.88,0.573,1.046,0.153,0.268,4.5,9.5,0.208,0.608,-0.1,-0.4,12,73,-9.9,17.6,0.251,0.659,48,248
"14477","Jake Cave",0.064,0.2,0.333,0.274,0.19,0.65,0.24,0.372,0.305,0.547,0.417,0.557,0.722,0.742,0.177,0.114,4.6,6.8,0.338,0.475,-1.6,0,97,53,-4.6,8.3,0.31,0.527,94,185
"14503","Renato Nunez",0.071,0.095,0.255,0.292,0.28,0.48,0.245,0.392,0.308,0.474,0.452,0.662,0.76,0.797,0.208,0.19,1.7,4.7,0.285,0.446,-0.9,-0.1,147,81,3.7,10,0.322,0.506,100,163
"14523","Pedro Severino",0.085,0.081,0.232,0.23,0.37,0.55,0.235,0.348,0.305,0.416,0.372,0.498,0.677,0.633,0.137,0.104,2.3,4.1,0.285,0.395,-0.2,-0.4,125,37,-24,-7.7,0.294,0.422,81,118
"14528","Gabriel Guerrero",0,0.075,0.444,0.312,0,0.37,0.167,0.389,0.167,0.442,0.333,0.588,0.5,0.733,0.167,0.14,0.1,7,0.222,0.471,0,0,1,60,-1.5,-2.1,0.211,0.462,24,134
"14548","Jesmuel Valentin",0.09,0.146,0.27,0.231,0.33,0.95,0.177,0.355,0.258,0.473,0.304,0.512,0.562,0.69,0.127,0.11,3.6,7.1,0.236,0.414,0,-0.3,6,42,-4.7,2.5,0.25,0.458,53,139
"14551","Anthony Santander",0.051,0.099,0.21,0.268,0.24,0.56,0.248,0.403,0.29,0.484,0.454,0.661,0.744,0.803,0.207,0.174,2.6,4.8,0.273,0.455,-1.7,-0.2,137,35,-4.3,4,0.312,0.507,94,167
"14553","Nomar Mazara",0.074,0.123,0.219,0.339,0.34,0.65,0.255,0.422,0.315,0.517,0.418,0.646,0.733,0.786,0.163,0.158,2.7,4.5,0.299,0.508,-2.6,-0.3,295,45,-9.3,7.7,0.314,0.525,88,170
"14556","Max Moroff",0.096,0.18,0.365,0.292,0.26,0.98,0.175,0.416,0.264,0.554,0.301,0.634,0.565,0.824,0.127,0.142,3.7,7,0.258,0.505,-0.4,-1.7,17,73,-14.8,9.1,0.251,0.543,52,194
"14558","Carlos Tocci",0.052,0.092,0.289,0.242,0.18,0.55,0.225,0.365,0.271,0.444,0.283,0.454,0.555,0.633,0.058,0.06,5,5.6,0.329,0.435,-1.3,-0.7,8,34,-7.5,-6.2,0.246,0.419,42,111
"14566","Franmil Reyes",0.09,0.106,0.295,0.332,0.3,0.5,0.26,0.437,0.325,0.515,0.503,0.835,0.828,0.906,0.243,0.251,2.3,4.2,0.314,0.506,-0.6,-0.6,228,66,38.6,10.4,0.347,0.59,119,220
"14567","Franchy Cordero",0.08,0.112,0.357,0.429,0.22,0.41,0.221,0.356,0.283,0.449,0.38,0.574,0.663,0.698,0.158,0.142,6.1,8,0.328,0.496,-0.1,0.3,43,42,-11,6,0.287,0.46,77,137
"14593","David Bote",0.103,0.165,0.256,0.296,0.4,0.94,0.227,0.336,0.318,0.475,0.388,0.502,0.706,0.682,0.161,0.116,4.2,5.3,0.282,0.409,-1.2,-0.1,118,34,-9.2,5.3,0.306,0.457,88,133
"14691","Harold Castro",0.036,0.055,0.222,0.234,0.16,0.39,0.291,0.407,0.315,0.449,0.375,0.521,0.69,0.678,0.084,0.078,3.9,7.1,0.366,0.481,-0.7,-0.1,82,29,-13.6,-6,0.297,0.442,84,126
"14712","Manuel Margot",0.072,0.116,0.179,0.183,0.4,1.01,0.251,0.394,0.306,0.484,0.388,0.585,0.694,0.764,0.137,0.14,6.1,10.4,0.289,0.437,-0.2,1.8,226,52,-34.7,8.1,0.298,0.491,88,157
"14713","Dawel Lugo",0.04,0.056,0.2,0.2,0.2,0.41,0.236,0.41,0.27,0.454,0.358,0.588,0.628,0.724,0.122,0.123,3.7,7,0.279,0.457,-0.2,0,32,49,-17.7,-0.4,0.266,0.47,62,147
"14735","Brett Phillips",0.105,0.158,0.364,0.342,0.29,0.68,0.202,0.392,0.29,0.517,0.376,0.653,0.666,0.811,0.175,0.175,8,9.6,0.294,0.504,3.3,0.5,66,61,-15.6,12.9,0.289,0.523,81,176
"14738","Phil Ervin",0.085,0.178,0.242,0.277,0.35,0.92,0.247,0.379,0.322,0.528,0.406,0.62,0.728,0.817,0.159,0.173,6.2,8.4,0.308,0.442,0.5,2.1,78,57,-2.4,8.5,0.314,0.527,90,181
"14773","Yu Chang",0.069,0.127,0.273,0.342,0.25,0.55,0.215,0.375,0.273,0.483,0.383,0.667,0.656,0.808,0.168,0.2,4.9,8.4,0.272,0.454,0,0,33,73,-9.9,7.7,0.282,0.515,76,172
"14811","Luke Voit",0.105,0.164,0.271,0.289,0.39,0.97,0.267,0.555,0.357,0.676,0.51,1.041,0.867,1.003,0.243,0.277,2,4,0.321,0.601,-0.9,-0.3,209,63,52.5,18.1,0.368,0.742,133,299
"14813","Kyle Farmer",0.047,0.114,0.209,0.226,0.22,0.75,0.254,0.352,0.308,0.452,0.397,0.54,0.706,0.715,0.143,0.139,3.4,4.8,0.299,0.385,-0.9,-0.2,100,35,-9.3,3.9,0.304,0.454,84,133
"14818","JaCoby Jones",0.06,0.132,0.326,0.39,0.19,0.56,0.212,0.433,0.275,0.54,0.371,0.659,0.646,0.784,0.159,0.153,6.3,8.1,0.296,0.557,0.2,0.1,107,49,-38.1,7.7,0.279,0.544,71,186
"14843","Michael Lorenzen",0.048,0.023,0.32,0.13,0.15,0.1,0.233,0.401,0.282,0.428,0.429,0.459,0.71,0.46,0.195,0.034,6.6,0.5,0.304,0.421,0.1,0,16,2,-1.7,-0.4,0.304,0.402,84,67
"14854","Mike Yastrzemski",0.097,0.141,0.251,0.307,0.39,0.73,0.255,0.434,0.336,0.543,0.5,0.739,0.836,0.842,0.244,0.199,4.9,10.2,0.301,0.508,-1.3,0.2,178,53,33.1,10.1,0.351,0.566,121,196
"14876","Jacob May",0.071,0.103,0.405,0.258,0.18,0.62,0.056,0.392,0.15,0.476,0.056,0.533,0.206,0.721,0,0.104,2,10,0.105,0.475,0,1.8,-2,53,-7.3,-2,0.114,0.469,-41,144
"14885","Pat Valaika",0.054,0.089,0.272,0.35,0.2,0.4,0.221,0.425,0.264,0.489,0.378,0.681,0.642,0.78,0.157,0.168,2.2,8.5,0.272,0.518,-1.6,-0.1,75,55,-29.8,0.1,0.276,0.514,62,155
"14894","Tony Kemp",0.109,0.184,0.149,0.175,0.73,1.63,0.248,0.476,0.339,0.618,0.377,0.63,0.716,0.809,0.129,0.099,5.5,10.7,0.278,0.534,-0.2,0.9,150,68,-2.3,14.9,0.315,0.574,101,196
"14897","Daniel Palka",0.07,0.157,0.347,0.361,0.2,0.77,0.218,0.384,0.277,0.499,0.433,0.717,0.71,0.849,0.216,0.229,3.5,7.1,0.282,0.459,-0.7,0.4,58,86,-6.5,21.5,0.302,0.54,90,192
"14936","Jaycob Brugman",0.111,0.13,0.235,0.365,0.47,0.62,0.266,0.384,0.346,0.48,0.343,0.69,0.688,0.781,0.077,0.204,1.3,6.7,0.34,0.443,-0.8,-0.4,18,53,-2.2,8.2,0.305,0.513,91,159
"14938","Jack Reinheimer",0.125,0.095,0.3,0.271,0.42,0.57,0.143,0.399,0.25,0.472,0.143,0.518,0.393,0.681,0,0.077,3.9,8.4,0.217,0.486,-0.2,1,1,43,-3.9,-3.5,0.196,0.454,23,130
"14942","Andrew Knapp",0.119,0.193,0.317,0.359,0.37,0.8,0.214,0.414,0.314,0.566,0.322,0.628,0.636,0.768,0.108,0.139,3.4,5.5,0.315,0.529,-0.1,-0.3,76,51,-24.3,14.4,0.282,0.558,72,197
"14950","Johan Camargo",0.073,0.094,0.207,0.229,0.35,0.61,0.257,0.425,0.315,0.496,0.423,0.597,0.738,0.745,0.166,0.104,2.9,5,0.303,0.488,-0.6,-0.8,139,52,-3,2.5,0.315,0.5,92,165
"14968","Victor Caratini",0.089,0.155,0.22,0.232,0.41,0.88,0.242,0.409,0.321,0.525,0.355,0.589,0.676,0.776,0.113,0.125,2.1,3.4,0.296,0.482,-0.6,-0.5,107,62,-19.1,12.8,0.295,0.51,82,171
"14973","Zach Green",0.125,0.117,0.375,0.419,0.33,0.43,0.143,0.365,0.25,0.466,0.214,0.689,0.464,0.817,0.071,0.233,1.1,4.3,0.25,0.462,0,0,1,47,-1.4,6.6,0.217,0.509,31,169
"15048","Johnny Field",0.03,0.115,0.309,0.282,0.1,0.62,0.222,0.39,0.254,0.483,0.403,0.615,0.657,0.759,0.181,0.149,5,8.3,0.284,0.46,0.7,0.8,21,46,-6.4,8.6,0.281,0.5,78,167
"15055","Dom Nunez",0.121,0.175,0.353,0.29,0.34,0.91,0.187,0.348,0.284,0.491,0.401,0.623,0.685,0.769,0.213,0.18,3.7,6,0.255,0.39,-0.2,-0.2,31,66,-6.4,2.1,0.29,0.491,66,149
"15082","Adam Engel",0.051,0.125,0.292,0.312,0.17,0.62,0.225,0.379,0.282,0.494,0.359,0.609,0.641,0.785,0.134,0.162,6.4,11.6,0.306,0.473,0.9,2.3,114,49,-41.3,5.6,0.279,0.504,73,165
"15103","Boog Powell",0.1,0.199,0.225,0.191,0.44,1.98,0.262,0.434,0.333,0.579,0.383,0.549,0.716,0.792,0.121,0.076,4.6,7.7,0.327,0.506,-0.7,-1.2,18,46,-0.9,10.2,0.312,0.53,97,178
"15104","Jonathan Davis",0.081,0.162,0.259,0.269,0.31,0.85,0.171,0.345,0.272,0.497,0.248,0.532,0.52,0.707,0.077,0.131,6.2,9.3,0.221,0.41,1.2,0.7,15,45,-16.5,8.1,0.241,0.481,46,156
"15112","Ryan McMahon",0.1,0.128,0.284,0.345,0.35,0.54,0.243,0.436,0.323,0.531,0.433,0.755,0.755,0.901,0.189,0.225,3.7,7.6,0.311,0.542,-0.3,-1.7,199,96,8,25.2,0.323,0.561,87,197
"15115","Dylan Cozens",0.133,0.156,0.533,0.379,0.25,0.66,0.154,0.371,0.267,0.487,0.282,0.716,0.549,0.823,0.128,0.229,3.2,8.3,0.357,0.447,0.2,1.4,3,62,-2.4,11.3,0.251,0.533,54,190
"15117","Hunter Dozier",0.088,0.137,0.271,0.329,0.32,0.71,0.241,0.406,0.311,0.518,0.436,0.615,0.747,0.81,0.194,0.146,4.9,4.4,0.304,0.536,-2.2,0,213,35,2.8,5.4,0.318,0.514,97,170
"15119","Jordan Patterson",0.053,0.099,0.053,0.325,1,0.46,0.444,0.406,0.474,0.515,0.5,0.714,0.974,0.861,0.056,0.212,1.3,8,0.471,0.492,-0.4,0,4,85,1.7,18.8,0.425,0.543,153,189
"15124","Tim Locastro",0.062,0.095,0.191,0.157,0.32,1.05,0.231,0.432,0.333,0.553,0.329,0.626,0.662,0.822,0.097,0.128,8,10.6,0.285,0.468,4.6,2,55,52,-7.8,9.8,0.299,0.536,82,185
"15149","Trey Mancini",0.075,0.115,0.23,0.299,0.33,0.58,0.271,0.464,0.333,0.553,0.472,0.76,0.804,0.845,0.201,0.186,2.8,5.7,0.317,0.536,-1.6,-0.6,358,77,50.7,19,0.341,0.589,113,218
"15156","Ian Miller",0,0.112,0.176,0.244,0,0.69,0.176,0.396,0.176,0.487,0.235,0.501,0.412,0.693,0.059,0.071,2.6,11,0.214,0.481,0,3.5,0,45,-2.1,-3.4,0.174,0.455,-1,133
"15161","Mitch Garver",0.107,0.139,0.264,0.291,0.4,0.81,0.256,0.356,0.341,0.468,0.494,0.521,0.835,0.701,0.238,0.119,3.2,3.5,0.307,0.432,-0.9,-0.5,163,61,32.5,13.9,0.353,0.459,122,145
"15170","Josh VanMeter",0.106,0.165,0.251,0.237,0.42,0.99,0.212,0.443,0.3,0.56,0.364,0.717,0.664,0.897,0.152,0.179,4.7,6.7,0.265,0.505,0,0.4,66,51,-14.5,7.4,0.291,0.567,75,205
"15172","Tim Anderson",0.035,0.061,0.241,0.309,0.15,0.23,0.286,0.427,0.314,0.479,0.448,0.67,0.762,0.805,0.162,0.185,6.2,8.1,0.353,0.498,6,1.5,371,41,16,5.9,0.324,0.517,104,175
"15181","Ryan Cordell",0.064,0.099,0.295,0.352,0.22,0.46,0.202,0.399,0.263,0.474,0.328,0.668,0.591,0.798,0.126,0.182,3.4,9,0.263,0.489,0.2,0.9,21,41,-15.7,7.3,0.256,0.507,57,169
"15189","Dustin Peterson",0.041,0.098,0.306,0.283,0.13,0.52,0.217,0.381,0.265,0.46,0.304,0.548,0.57,0.695,0.087,0.11,4.2,4.9,0.323,0.458,0.2,-0.4,3,74,-3,1,0.249,0.464,51,143
"15191","Chad Pinder",0.065,0.11,0.262,0.366,0.25,0.58,0.244,0.484,0.302,0.589,0.427,0.869,0.729,0.897,0.183,0.248,2.7,6.6,0.3,0.562,-1.8,-0.9,158,77,-7.6,13.2,0.311,0.631,98,214
"15194","Jake Bauers",0.115,0.154,0.264,0.246,0.43,0.92,0.213,0.393,0.307,0.51,0.348,0.591,0.655,0.767,0.135,0.134,3.8,6.4,0.273,0.456,-1.9,-0.3,111,67,-25.9,12.7,0.289,0.508,82,173
"15197","Carlos Asuaje",0.09,0.159,0.215,0.238,0.42,1.06,0.24,0.436,0.312,0.564,0.329,0.686,0.641,0.832,0.088,0.173,2.1,8.4,0.304,0.499,-1,-0.9,54,83,-16.5,14.2,0.284,0.565,75,192
"15207","Stuart Turner",0.056,0.118,0.247,0.324,0.23,0.62,0.134,0.384,0.182,0.485,0.244,0.488,0.426,0.667,0.11,0.078,0.4,4.7,0.153,0.484,0,0.3,1,28,-10.1,-4.5,0.186,0.459,4,128
"15214","Brandon Dixon",0.05,0.061,0.328,0.345,0.15,0.22,0.228,0.305,0.271,0.354,0.41,0.493,0.681,0.543,0.182,0.12,4.6,7.4,0.307,0.398,0.3,0.5,54,41,-15.1,-2.5,0.286,0.377,75,88
"15223","Adam Frazier",0.074,0.166,0.129,0.174,0.58,1.75,0.281,0.507,0.344,0.625,0.412,0.643,0.757,0.745,0.131,0.08,4.8,8.7,0.313,0.567,-5.1,-1.3,317,69,18.9,6,0.327,0.585,103,202
"15271","Austin Wynns",0.048,0.129,0.211,0.244,0.23,0.99,0.216,0.424,0.255,0.526,0.326,0.606,0.58,0.723,0.11,0.111,3,2.8,0.251,0.491,0,-0.3,23,31,-17.3,-1.1,0.253,0.518,55,167
"15274","Mike Tauchman",0.12,0.175,0.27,0.257,0.44,1.16,0.231,0.491,0.326,0.62,0.378,0.736,0.704,0.813,0.147,0.145,5.3,11.1,0.304,0.567,0.8,-0.2,76,94,-6.1,15.2,0.307,0.603,90,199
"15279","Garrett Cooper",0.089,0.142,0.263,0.235,0.34,1.2,0.282,0.466,0.354,0.566,0.453,0.697,0.807,0.893,0.172,0.171,2.4,2.4,0.362,0.538,-0.9,-0.1,131,25,21.2,7.1,0.347,0.57,119,211
"15351","Frank Schwindel",0.058,0.053,0.157,0.219,0.37,0.37,0.311,0.41,0.354,0.455,0.56,0.685,0.914,0.802,0.249,0.19,3.9,3,0.33,0.434,-0.2,-0.5,49,51,15.6,5.5,0.384,0.503,140,163
"15362","Jeff McNeil",0.068,0.102,0.125,0.152,0.54,1.02,0.298,0.39,0.364,0.576,0.459,0.596,0.822,0.804,0.16,0.133,4.1,7.2,0.323,0.423,-2,0.8,222,35,43.7,10.2,0.353,0.559,125,203
"15402","Jack Mayfield",0.05,0.103,0.244,0.248,0.2,0.61,0.204,0.402,0.251,0.486,0.358,0.649,0.609,0.783,0.153,0.166,4.3,6.1,0.242,0.446,0.8,-0.3,31,41,-18.2,4.6,0.262,0.503,64,164
"15407","Nate Orf",0.094,0.173,0.281,0.197,0.33,1.34,0.071,0.421,0.188,0.584,0.179,0.573,0.366,0.779,0.107,0.1,6.5,7.8,0.056,0.485,0.2,-0.2,0,88,-3.7,14.3,0.178,0.541,7,175
"15429","Kris Bryant",0.115,0.12,0.237,0.395,0.49,0.42,0.278,0.432,0.376,0.524,0.504,0.893,0.88,0.908,0.226,0.301,4.7,6,0.335,0.508,-1.9,0.3,643,33,184,15.8,0.375,0.618,134,234
"15447","Ryon Healy",0.047,0.117,0.222,0.219,0.21,1.03,0.261,0.443,0.298,0.522,0.45,0.743,0.748,0.828,0.19,0.206,1.3,4.7,0.297,0.471,-1.2,-0.3,192,57,-0.8,5.3,0.318,0.551,101,185
